Date,Open,High,Low,Close,Adj Close,Volume
2018-03-13,44.570000,44.919998,44.080002,44.240002,44.240002,3349200
2018-03-14,44.299999,44.360001,43.540001,43.770000,43.770000,3268200
2018-03-15,43.750000,43.910000,42.950001,43.259998,43.259998,3270900
2018-03-16,43.349998,43.889999,43.000000,43.500000,43.500000,10091100
2018-03-19,43.520000,43.660000,42.939999,43.060001,43.060001,4270500
2018-03-20,43.139999,43.259998,42.599998,42.970001,42.970001,2133700
2018-03-21,42.750000,42.990002,42.310001,42.619999,42.619999,3078300
2018-03-22,42.450001,42.849998,41.869999,41.939999,41.939999,2645500
2018-03-23,42.000000,42.750000,41.990002,42.049999,42.049999,4459400
2018-03-26,42.330002,42.889999,42.169998,42.830002,42.830002,2573800
2018-03-27,42.970001,43.599998,42.740002,42.869999,42.869999,4334300
2018-03-28,42.750000,43.090000,42.490002,42.799999,42.799999,4171900
2018-03-29,43.090000,43.570000,43.000000,43.369999,43.369999,2798800
2018-04-02,43.330002,43.450001,41.910000,42.270000,42.270000,3020100
2018-04-03,42.470001,43.450001,42.299999,43.119999,43.119999,3722000
2018-04-04,42.580002,44.099998,42.459999,43.900002,43.900002,6910900
2018-04-05,44.290001,44.730000,43.930000,44.430000,44.430000,5711300
2018-04-06,44.200001,44.750000,43.970001,44.330002,44.330002,6448000
2018-04-09,44.610001,44.860001,44.169998,44.220001,44.220001,3335200
2018-04-10,44.599998,44.790001,43.869999,44.139999,44.139999,3727500
2018-04-11,43.959999,44.369999,43.919998,44.130001,44.130001,1728400
2018-04-12,44.330002,45.410000,44.220001,45.299999,45.299999,4983200
2018-04-13,45.340000,45.430000,44.990002,45.029999,45.029999,366206
